city_name,country_code,region,population,upd_date,lat,lon
Newport,GB,Europe/London,306844,2020-10-24,51.587742,-2.9983499
Newcastle upon Tyne,GB,Europe/London,192382,2021-07-25,54.973282,-1.61396
Milton Keynes,GB,Europe/London,229941,2017-06-12,52.041721,-.75582999
Middlesbrough,GB,Europe/London,142707,2021-08-08,54.576229,-1.23483
Mansfield,GB,Europe/London,171958,2017-06-12,53.133331,-1.2
Manchester,GB,Europe/London,395515,2021-07-25,53.480949,-2.2374301
Maidstone,GB,Europe/London,107627,2017-06-12,51.26667,.51666999
Luton,GB,Europe/London,258018,2021-07-31,51.879669,-.41747999
London,GB,Europe/London,7556900,2019-09-18,51.50853,-.12574001
Liverpool,GB,Europe/London,864122,2021-07-25,53.41058,-2.9779401
Lincoln,GB,Europe/London,114879,2019-09-05,53.22683,-.53792
Leicester,GB,Europe/London,508916,2021-07-25,52.638599,-1.13169
Leeds,GB,Europe/London,455123,2021-07-25,53.796478,-1.54785
Kingston upon Hull,GB,Europe/London,314018,2021-08-01,53.744598,-.33524999
Islington,GB,Europe/London,319143,2021-08-08,51.536221,-.10304
Ipswich,GB,Europe/London,178835,2021-08-01,52.05917,1.15545
Huddersfield,GB,Europe/London,149017,2019-09-05,53.64904,-1.78416
High Wycombe,GB,Europe/London,133204,2017-06-12,51.62907,-.74934
Hastings,GB,Europe/London,133422,2017-06-12,50.85519,.57292002
Grimsby,GB,Europe/London,134160,2017-06-12,53.565392,-.07553
Gloucester,GB,Europe/London,150053,2019-09-05,51.865681,-2.2430999
Glasgow,GB,Europe/London,591620,2019-09-05,55.86515,-4.2576299
Gillingham,GB,Europe/London,101187,2010-08-03,51.389141,.54863
Exeter,GB,Europe/London,117763,2021-07-31,50.723598,-3.5275099
Enfield Town,GB,Europe/London,103970,2020-07-25,51.65147,-.084969997
Edinburgh,GB,Europe/London,464990,2019-09-05,55.952061,-3.19648
Eastbourne,GB,Europe/London,118219,2020-07-10,50.768711,.28453001
Dundee,GB,Europe/London,147710,2019-09-05,56.469131,-2.97489
Dudley,GB,Europe/London,199059,2010-10-16,52.5,-2.0833299
Doncaster,GB,Europe/London,158141,2019-09-05,53.52285,-1.13116
Derby,GB,Europe/London,270468,2021-07-25,52.922771,-1.47663
Dagenham,GB,Europe/London,108368,2012-04-27,51.549999,.16666999
Croydon,GB,Europe/London,173314,2021-08-08,51.383331,-.1
Crawley,GB,Europe/London,180508,2017-06-12,51.113029,-.18312
